code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E07000083,Tewkesbury,6,"23,400","16,400",39,"33,700","26,200",17,"20,800","17,600",53,"36,600","27,100",53,"5,710","2,610",305
E10000027,Somerset County,38,"21,400","15,200",204,"29,700","23,900",102,"20,500","16,500",296,"33,300","25,600",296,"4,680","2,300","1,380"
E07000187,Mendip,9,"22,000","15,900",39,"30,600","23,700",22,"20,600","16,900",59,"35,500","26,000",59,"5,350","2,400",314
E07000188,Sedgemoor,8,"22,400","16,200",48,"28,500","23,500",22,"18,400","16,200",66,"31,600","24,900",66,"4,150","2,200",276
E07000246,Somerset West and Taunton,11,"18,900","13,600",58,"29,500","23,700",27,"22,500","16,500",82,"33,100","25,400",82,"4,590","2,260",378
E07000189,South Somerset,11,"22,800","15,600",59,"30,400","24,600",31,"20,300","16,700",88,"33,400","25,600",88,"4,710","2,370",417
W92000004,Wales,142,"20,100","14,900","1,090","29,800","24,800",448,"18,900","17,000","1,480","31,600","25,200","1,480","4,040","2,280","5,970"
W06000019,Blaenau Gwent,2,"18,000","16,400",24,"26,800","24,000",8,"14,800","14,900",31,"26,700","22,900",31,"2,760","1,960",85
W06000013,Bridgend,5,"20,400","16,100",50,"30,900","27,000",21,"18,900","17,000",68,"31,500","26,600",68,"3,900","2,450",266
W06000018,Caerphilly,6,"20,700","17,300",60,"28,900","24,800",22,"16,700","15,700",79,"29,800","24,600",79,"3,510","2,170",276
W06000015,Cardiff,14,"24,600","14,900",129,"33,100","26,400",38,"20,300","17,900",162,"36,200","27,700",162,"5,210","2,670",844
W06000010,Carmarthenshire,12,"15,900","11,400",67,"28,200","24,400",29,"19,000","16,500",91,"30,700","25,300",91,"3,750","2,270",342
W06000008,Ceredigion,5,"17,900","13,100",22,"26,400","22,700",13,"19,100","16,700",33,"28,900","23,500",33,"3,310","1,950",110
W06000003,Conwy,6,"21,600","15,700",38,"28,400","23,500",19,"18,200","16,200",54,"31,600","25,000",54,"4,140","2,220",222
W06000004,Denbighshire,5,"22,700","14,700",31,"28,600","24,500",15,"18,700","17,300",44,"31,100","25,700",44,"4,000","2,350",177
